
time,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),Altitude (m),
0.041237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,841.30000000,
0.043753,0.0000,0.0000,0.0000,0.5223,0.0916,-0.0990,12.84349500,77.66312833,0.00000000,841.30000000,
0.058103,0.0000,0.0000,0.0000,0.5223,0.0916,-0.0990,12.84349500,77.66312833,0.00000000,841.30000000,
0.059053,0.1420,-0.8723,-1.6690,0.5223,0.0916,-0.0990,12.84349500,77.66312833,0.00000000,841.30000000,
0.059855,0.1420,-0.8723,-1.6690,0.0428,0.3928,-0.0507,12.84349500,77.66312833,0.00000000,841.30000000,
0.102257,0.1420,-0.8723,-1.6690,0.0428,0.3928,-0.0507,12.84349500,77.66312833,0.00000000,841.30000000,
0.103171,0.2632,-1.0479,-1.3981,0.0428,0.3928,-0.0507,12.84349500,77.66312833,0.00000000,841.30000000,
0.103882,0.2632,-1.0479,-1.3981,-0.2987,0.6084,-0.0788,12.84349500,77.66312833,0.00000000,841.30000000,
0.104481,0.2632,-1.0479,-1.3981,-0.2987,0.6084,-0.0788,12.84349500,77.66312833,0.00000000,841.30000000,
0.105020,0.0890,-1.2017,-1.2710,-0.2987,0.6084,-0.0788,12.84349500,77.66312833,0.00000000,841.30000000,
0.105602,0.0890,-1.2017,-1.2710,-0.4270,0.7391,-0.0819,12.84349500,77.66312833,0.00000000,841.30000000,
0.119295,0.0890,-1.2017,-1.2710,-0.4270,0.7391,-0.0819,12.84349500,77.66312833,0.00000000,841.30000000,
0.121161,-0.0161,-0.9958,-1.0669,-0.4270,0.7391,-0.0819,12.84349500,77.66312833,0.00000000,841.30000000,
0.123005,-0.0161,-0.9958,-1.0669,-0.3903,0.7245,-0.0739,12.84349500,77.66312833,0.00000000,841.30000000,
0.136331,-0.0161,-0.9958,-1.0669,-0.3903,0.7245,-0.0739,12.84349500,77.66312833,0.00000000,841.30000000,
0.138139,-0.0978,-0.6627,-0.5737,-0.3903,0.7245,-0.0739,12.84349500,77.66312833,0.00000000,841.30000000,
0.139669,-0.0978,-0.6627,-0.5737,-0.2889,0.5803,-0.1527,12.84349500,77.66312833,0.00000000,841.30000000,
0.163015,-0.0978,-0.6627,-0.5737,-0.2889,0.5803,-0.1527,12.84349500,77.66312833,0.00000000,841.30000000,
0.164968,-0.2658,-0.6129,-0.8349,-0.2889,0.5803,-0.1527,12.84349500,77.66312833,0.00000000,841.30000000,
0.167646,-0.2658,-0.6129,-0.8349,-0.2529,0.3335,-0.2682,12.84349500,77.66312833,0.00000000,841.30000000,
0.176692,-0.2658,-0.6129,-0.8349,-0.2529,0.3335,-0.2682,12.84349500,77.66312833,0.00000000,841.30000000,
0.178462,-0.2626,-0.4958,-1.0887,-0.2529,0.3335,-0.2682,12.84349500,77.66312833,0.00000000,841.30000000,
0.180138,-0.2626,-0.4958,-1.0887,-0.3958,0.1692,-0.3574,12.84349500,77.66312833,0.00000000,841.30000000,
0.200173,-0.2626,-0.4958,-1.0887,-0.3958,0.1692,-0.3574,12.84349500,77.66312833,0.00000000,841.30000000,
0.203120,-0.7007,-0.2424,-0.5357,-0.3958,0.1692,-0.3574,12.84349500,77.66312833,0.00000000,841.30000000,
0.206457,-0.7007,-0.2424,-0.5357,-0.4667,-0.0434,-0.2498,12.84349500,77.66312833,0.00000000,841.30000000,
0.218092,-0.7007,-0.2424,-0.5357,-0.4667,-0.0434,-0.2498,12.84349500,77.66312833,0.00000000,841.30000000,
0.219795,0.0068,-0.5041,-0.5837,-0.4667,-0.0434,-0.2498,12.84349500,77.66312833,0.00000000,841.30000000,
0.221436,0.0068,-0.5041,-0.5837,-0.4404,-0.2608,-0.0721,12.84349500,77.66312833,0.00000000,841.30000000,
0.244126,0.0068,-0.5041,-0.5837,-0.4404,-0.2608,-0.0721,12.84349500,77.66312833,0.00000000,841.30000000,
0.247599,0.5172,-0.4932,-0.2562,-0.4404,-0.2608,-0.0721,12.84349500,77.66312833,0.00000000,841.30000000,
0.250240,0.5172,-0.4932,-0.2562,-0.4392,-0.3543,-0.0898,12.84349500,77.66312833,0.00000000,841.30000000,
0.256118,0.5172,-0.4932,-0.2562,-0.4392,-0.3543,-0.0898,12.84349500,77.66312833,0.00000000,841.30000000,
0.256718,0.7261,-0.5045,-0.3595,-0.4392,-0.3543,-0.0898,12.84349500,77.66312833,0.00000000,841.30000000,
0.257250,0.7261,-0.5045,-0.3595,-0.4875,-0.3384,-0.2462,12.84349500,77.66312833,0.00000000,841.30000000,
0.280887,0.7261,-0.5045,-0.3595,-0.4875,-0.3384,-0.2462,12.84349500,77.66312833,0.00000000,841.30000000,
0.281722,0.3148,-0.6456,-0.9652,-0.4875,-0.3384,-0.2462,12.84349500,77.66312833,0.00000000,841.30000000,
0.282482,0.3148,-0.6456,-0.9652,-0.5718,-0.0354,-0.3549,12.84349500,77.66312833,0.00000000,841.30000000,
0.296302,0.3148,-0.6456,-0.9652,-0.5718,-0.0354,-0.3549,12.84349500,77.66312833,0.00000000,841.30000000,
0.297438,-0.1600,-0.5946,-1.2379,-0.5718,-0.0354,-0.3549,12.84349500,77.66312833,0.00000000,841.30000000,
0.298219,-0.1600,-0.5946,-1.2379,-0.8088,0.2352,-0.3122,12.84349500,77.66312833,0.00000000,841.30000000,
0.323122,-0.1600,-0.5946,-1.2379,-0.8088,0.2352,-0.3122,12.84349500,77.66312833,0.00000000,841.30000000,
0.324956,-0.7925,-0.3591,0.3010,-0.8088,0.2352,-0.3122,12.84349500,77.66312833,0.00000000,841.30000000,
0.326481,-0.7925,-0.3591,0.3010,-0.9316,0.3983,-0.0110,12.84349500,77.66312833,0.00000000,841.30000000,
0.336239,-0.7925,-0.3591,0.3010,-0.9316,0.3983,-0.0110,12.84349500,77.66312833,0.00000000,841.30000000,
0.337198,-0.5895,-0.2237,1.2404,-0.9316,0.3983,-0.0110,12.84349500,77.66312833,0.00000000,841.30000000,
0.338676,-0.5895,-0.2237,1.2404,-0.7672,0.6329,0.3183,12.84349500,77.66312833,0.00000000,841.30000000,
0.359025,-0.5895,-0.2237,1.2404,-0.7672,0.6329,0.3183,12.84349500,77.66312833,0.00000000,841.30000000,
0.359951,0.1994,-0.2223,1.7205,-0.7672,0.6329,0.3183,12.84349500,77.66312833,0.00000000,841.30000000,
0.360767,0.1994,-0.2223,1.7205,-0.5168,0.6310,0.4704,12.84349500,77.66312833,0.00000000,841.30000000,
0.376323,0.1994,-0.2223,1.7205,-0.5168,0.6310,0.4704,12.84349500,77.66312833,0.00000000,841.30000000,
0.377259,1.2219,-0.3689,2.3499,-0.5168,0.6310,0.4704,12.84349500,77.66312833,0.00000000,841.30000000,
0.378194,1.2219,-0.3689,2.3499,-0.3354,0.0434,0.2926,12.84349500,77.66312833,0.00000000,841.30000000,
0.403402,1.2219,-0.3689,2.3499,-0.3354,0.0434,0.2926,12.84349500,77.66312833,0.00000000,841.30000000,
0.404931,1.2587,-0.6088,2.6797,-0.3354,0.0434,0.2926,12.84349500,77.66312833,0.00000000,841.30000000,
0.406119,1.2587,-0.6088,2.6797,-0.0892,-0.4795,0.0434,12.84349500,77.66312833,0.00000000,841.30000000,
0.416216,1.2587,-0.6088,2.6797,-0.0892,-0.4795,0.0434,12.84349500,77.66312833,0.00000000,841.30000000,
0.417074,0.9514,-0.5889,3.0634,-0.0892,-0.4795,0.0434,12.84349500,77.66312833,0.00000000,841.30000000,
0.417953,0.9514,-0.5889,3.0634,0.2535,-0.5180,-0.0342,12.84349500,77.66312833,0.00000000,841.30000000,
0.438503,0.9514,-0.5889,3.0634,0.2535,-0.5180,-0.0342,12.84349500,77.66312833,0.00000000,841.30000000,
0.439376,0.9567,-0.2377,3.9089,0.2535,-0.5180,-0.0342,12.84349500,77.66312833,0.00000000,841.30000000,
0.440224,0.9567,-0.2377,3.9089,0.6866,-0.8485,-0.1228,12.84349500,77.66312833,0.00000000,841.30000000,
0.456431,0.9567,-0.2377,3.9089,0.6866,-0.8485,-0.1228,12.84349500,77.66312833,0.00000000,841.30000000,
0.457315,0.3638,-0.0439,3.1257,0.6866,-0.8485,-0.1228,12.84349500,77.66312833,0.00000000,841.30000000,
0.458265,0.3638,-0.0439,3.1257,1.1784,-0.6854,-0.2230,12.84349500,77.66312833,0.00000000,841.30000000,
0.483059,0.3638,-0.0439,3.1257,1.3738,-0.2431,-0.1258,12.84349500,77.66312833,0.00000000,841.30000000,
0.496626,0.3638,-0.0439,3.1257,1.3738,-0.2431,-0.1258,12.84349500,77.66312833,0.00000000,841.30000000,
