
time,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),Altitude (m),
0.016042,0.0000,0.0000,0.0000,0.7288,0.5119,0.5186,0.00000000,0.00000000,0.00000000,848.90000000,
0.027000,0.0000,0.0000,0.0000,0.7288,0.5119,0.5186,12.84504833,77.66385667,0.02779500,848.90000000,
0.036084,0.0000,0.0000,0.0000,0.4917,0.0941,0.5779,12.84504833,77.66385667,0.02779500,848.90000000,
0.046772,0.0000,0.0000,0.0000,0.4917,0.0941,0.5779,12.84504833,77.66385667,0.02779500,848.90000000,
0.047566,0.0107,-0.0090,-0.0283,0.4917,0.0941,0.5779,12.84504833,77.66385667,0.02779500,848.90000000,
0.055305,0.0107,-0.0090,-0.0283,0.0886,-0.1246,0.7220,12.84504833,77.66385667,0.02779500,848.90000000,
0.066532,0.0107,-0.0090,-0.0283,0.0886,-0.1246,0.7220,12.84504833,77.66385667,0.02779500,848.90000000,
0.067411,0.2050,-0.0411,0.1423,0.0886,-0.1246,0.7220,12.84504833,77.66385667,0.02779500,848.90000000,
0.075858,0.2050,-0.0411,0.1423,-0.1558,-0.0550,0.8473,12.84504833,77.66385667,0.02779500,848.90000000,
0.086266,0.2050,-0.0411,0.1423,-0.1558,-0.0550,0.8473,12.84504833,77.66385667,0.02779500,848.90000000,
0.087033,0.0793,-0.1914,0.7650,-0.1558,-0.0550,0.8473,12.84504833,77.66385667,0.02779500,848.90000000,
0.096116,0.0793,-0.1914,0.7650,0.0318,0.1075,1.0079,12.84504833,77.66385667,0.02779500,848.90000000,
0.107059,0.0793,-0.1914,0.7650,0.0318,0.1075,1.0079,12.84504833,77.66385667,0.02779500,848.90000000,
0.107808,0.2771,-0.2766,1.1736,0.0318,0.1075,1.0079,12.84504833,77.66385667,0.02779500,848.90000000,
0.116825,0.2771,-0.2766,1.1736,0.4038,0.2217,1.0751,12.84504833,77.66385667,0.02779500,848.90000000,
0.126920,0.2771,-0.2766,1.1736,0.4038,0.2217,1.0751,12.84504833,77.66385667,0.02779500,848.90000000,
0.128497,0.2186,-0.0852,0.6215,0.4038,0.2217,1.0751,12.84504833,77.66385667,0.02779500,848.90000000,
0.135237,0.2186,-0.0852,0.6215,0.6457,0.2889,1.1057,12.84504833,77.66385667,0.02779500,848.90000000,
0.146772,0.2186,-0.0852,0.6215,0.6457,0.2889,1.1057,12.84504833,77.66385667,0.02779500,848.90000000,
0.148470,-0.2278,0.2379,0.2069,0.6457,0.2889,1.1057,12.84504833,77.66385667,0.02779500,848.90000000,
0.156371,-0.2278,0.2379,0.2069,0.8314,0.3048,1.2126,12.84504833,77.66385667,0.02779500,848.90000000,
0.166865,-0.2278,0.2379,0.2069,0.8314,0.3048,1.2126,12.84504833,77.66385667,0.02779500,848.90000000,
0.168293,-0.0686,0.0901,-0.0491,0.8314,0.3048,1.2126,12.84504833,77.66385667,0.02779500,848.90000000,
0.175641,-0.0686,0.0901,-0.0491,1.1264,0.2926,1.3176,12.84504833,77.66385667,0.02779500,848.90000000,
0.187152,-0.0686,0.0901,-0.0491,1.1264,0.2926,1.3176,12.84504833,77.66385667,0.02779500,848.90000000,
0.187962,0.5103,-0.0341,0.2200,1.1264,0.2926,1.3176,12.84504833,77.66385667,0.02779500,848.90000000,
0.196044,0.5103,-0.0341,0.2200,1.5779,0.4667,1.4447,12.84504833,77.66385667,0.02779500,848.90000000,
0.207377,0.5103,-0.0341,0.2200,1.5779,0.4667,1.4447,12.84504833,77.66385667,0.02779500,848.90000000,
0.209082,1.3050,0.2880,-0.2491,1.5779,0.4667,1.4447,12.84504833,77.66385667,0.02779500,848.90000000,
0.216047,1.3050,0.2880,-0.2491,1.8925,1.1570,1.5094,12.84504833,77.66385667,0.02779500,848.90000000,
0.228516,1.3050,0.2880,-0.2491,1.8925,1.1570,1.5094,12.84504833,77.66385667,0.02779500,848.90000000,
0.230326,0.1213,0.4875,-0.2837,1.8925,1.1570,1.5094,12.84504833,77.66385667,0.02779500,848.90000000,
0.235169,0.1213,0.4875,-0.2837,1.7575,1.0873,1.5797,12.84504833,77.66385667,0.02779500,848.90000000,
0.246943,0.1213,0.4875,-0.2837,1.7575,1.0873,1.5797,12.84504833,77.66385667,0.02779500,848.90000000,
0.248885,-0.7335,0.1818,-1.4163,1.7575,1.0873,1.5797,12.84504833,77.66385667,0.02779500,848.90000000,
0.255108,-0.7335,0.1818,-1.4163,1.1594,0.4465,1.4600,12.84504833,77.66385667,0.02779500,848.90000000,
0.266658,-0.7335,0.1818,-1.4163,1.1594,0.4465,1.4600,12.84504833,77.66385667,0.02779500,848.90000000,
0.267528,0.4503,-0.0356,-2.8043,1.1594,0.4465,1.4600,12.84504833,77.66385667,0.02779500,848.90000000,
0.276317,0.4503,-0.0356,-2.8043,0.5119,0.6726,1.1991,12.84504833,77.66385667,0.02779500,848.90000000,
0.286986,0.4503,-0.0356,-2.8043,0.5119,0.6726,1.1991,12.84504833,77.66385667,0.02779500,848.90000000,
0.287849,0.7366,-0.0364,-1.6942,0.5119,0.6726,1.1991,12.84504833,77.66385667,0.02779500,848.90000000,
0.295614,0.7366,-0.0364,-1.6942,-0.1698,0.7984,1.0043,12.84504833,77.66385667,0.02779500,848.90000000,
0.307051,0.7366,-0.0364,-1.6942,-0.1698,0.7984,1.0043,12.84504833,77.66385667,0.02779500,848.90000000,
0.307905,0.0375,0.0293,-0.4601,-0.1698,0.7984,1.0043,12.84504833,77.66385667,0.02779500,848.90000000,
0.316226,0.0375,0.0293,-0.4601,-0.7068,0.4899,0.8534,12.84504833,77.66385667,0.02779500,848.90000000,
0.326243,0.0375,0.0293,-0.4601,-0.7068,0.4899,0.8534,12.84504833,77.66385667,0.02779500,848.90000000,
